'Boulder Chophouse & Tavern', '921 Walnut Street, Boulder, CO, 80302'
'Centro Latin Kitchen', '950 Pearl Street, Boulder, CO 80302'
'Illegal Pete\'s', '1447 Pearl Street, Boulder, CO 80302'
'Salt', '1047 Pearl Street, Boulder, CO 80302'
'Sushi Hana', '1220 Pennsylvania Ave, Boulder, CO 80302'
'28th Street Tavern', '2690 28th Street, Boulder, CO'
'Absinthe House', '1109 Walnut Street, Boulder, CO 80302'
'Agave', '2845 28th Street, Boulder, CO 80301'
'Aji', '1601 Pearl Street, Boulder, CO 80302'
'Arugula Bar & Ristorante', '2785 Iris Avenue, Boulder, CO 80304'
'Backcountry Pizza & Tap House', '2319 Arapahoe Avenue, Boulder, CO 80302'
'Black Pepper Pho', '2770 Pearl Street, Boulder, CO 80302'
'Boulder Cafe', '1247 Pearl Street, Boulder, CO 80302'
'Boulder Cork', '3295 30th Street, Boulder, CO 80301'
'Brasserie Ten Ten', '1011 Walnut Street, Boulder, CO 80302'
'Cafe Aion', '1235 Pennsylvania Avenue, Boulder, CO 80302'
'Catacombs', '2115 13th Street, Boulder, CO 80302'
'Conor O\'neills', '1922 13th Street, Boulder CO 80302'
'Corner Bar', '2115 13th Street, Boulder, CO 80302'
'Dagabi Cucina', '3970 N Broadway Street, Boulder, CO 80305'
'Dark Horse', '2922 Baseline Rd, Boulder, CO 80303'
'Foolish Craig\'s', '1611 Pearl Street Boulder, CO 80302'
'George\'s', '2028 14th Street, Boulder, CO 80302'
'Japango', '1136 Pearl Street, Boulder, CO 80302'
'Jax Fish House', '928 Pearl Street, Boulder, CO 80302'
'Jill\'s Restaurant', '900 Walnut Street, Boulder, CO 80302'
'Leaf Vegetarian Restaurant', '2010 16th Street, Boulder, CO 80303'
'Moongate Asian Bistro', '1628 Pearl Street, Boulder, CO 80302'
'Mountain Sun Pub & Brewery', '1535 Pearl Street, Boulder, CO 80302'
'Murphy\'s Grill', '2731 Iris Ave, Boulder, CO 80304'
'Pasta Jay\'s', '1001 Pearl Street, Bouder, CO 80302'
'Pear Street Pub', '1108 Pearl Street, Boulder, CO 80302'
'Pizzeria Locale', '1730 Pearl Street, Boulder, CO 80302'
'Press Play', '1005 Pearl Street, Boulder, CO 80302'
'Rio Grande Mexican Restaurant Boulder', '1101 Walnut Street Boulder, CO 80302'
'Rueben\'s Burger Bistro', '1800 Broadway, Boulder, CO 80302'
'Sherpa\'s', '825 Walnut Street, Boulder, CO 80302'
'Sushi Tora', '2014 10th Street, Boulder, CO 80302'
'Sushi Zanmai', '1221 Spruce Street, Boulder, CO 80302'
'Taco Junky', '1149 13th Street, Boulder, CO 80302'
'Tahona Tequilia Bistro', '1035 Pearl Street, Boulder, CO 80302'
'The Hungry Toad', '2543 Broadway Street, Boulder, CO 80302'
'The Kitchen', '1039 Pearl Street, Boulder, CO 80302'
'The Rib House', '1801 13th Street Suite 180, Boulder, CO 80302'
'The Sink', '1165 13th Street, Boulder, CO 80302'
'Wahoo\'s Fish Taco', '2790 Pearl Street, Boulder, CO 80302'
'Zolo', '2525 Arapahoe Avenue, Boulder, CO 80302'

